id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
177,Tiny Home in the Heart of the City- ECO FRIENDLY,615,Joe,,Washington Virginia Vale,39.69753,-104.92588,Entire home/apt,75,1,78,2020-12-31,1.45,1,306
360,Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,666,Jennifer & Giovanni,,Highland,39.76703,-105.00256,Entire home/apt,133,3,134,2021-01-04,4.45,2,58
364,Lodo / RiNo LOFT  via airport train,783,Jason,,Five Points,39.76551,-104.97902,Entire home/apt,179,185,87,2016-04-26,0.61,1,363
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75361,-104.91237,Private room,54,1,606,2020-09-01,4.20,2,168
592,private,933,Jill,,North Park Hill,39.75438,-104.91156,Private room,45,29,156,2020-11-08,1.07,2,146
686,Alexandra's Queen Bed Room LONG-TERM RENTAL,990,Alexandra,,North Capitol Hill,39.74503,-104.97756,Private room,48,30,254,2019-11-09,1.68,1,335
1940,Baker Studio Close to EVERYTHING,2150,Joanne,,Baker,39.71981,-104.99649,Entire home/apt,90,1,55,2021-01-01,1.12,1,154
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76179,-105.02845,Entire home/apt,85,4,77,2020-12-30,0.61,1,365
39405,LoHi Secret garden at Mulberry Cottage Monthly,666,Jennifer & Giovanni,,Highland,39.76588,-105.00545,Entire home/apt,106,29,622,2020-12-26,4.87,2,1
81540,Affordable S. Denver Guest House,98912,Jess,,Overland,39.66787,-104.98969,Entire home/apt,77,3,175,2021-01-24,1.46,1,232
90307,Comfy King Size Room (Park Hill),489506,Doreen,,South Park Hill,39.74955,-104.93239,Private room,79,1,205,2021-01-03,1.85,3,20
172196,Luxury Wash Park Home Great for Families & Groups,526354,Michael,,Washington Park,39.69688,-104.96232,Entire home/apt,325,3,27,2021-01-01,0.24,1,69
192430,treetop view bedroom  east dwntwn ./  4-6 weeks,923646,Kate,,South Park Hill,39.7416,-104.93613,Private room,40,14,120,2020-12-23,1.04,1,137
217996,Highland Snug,10730,William,,Highland,39.75706,-105.01022,Private room,100,30,11,2017-08-06,0.17,1,295
236207,Denver Penthouse 5*Location DIA 33 Minutes $10.50,1238201,Dave,,Union Station,39.75475,-105.00533,Entire home/apt,165,30,63,2020-10-31,0.60,1,0
283162,2000 SF-Lodo Club Style Condo,1475137,Lee,,Union Station,39.75035,-104.99624,Entire home/apt,165,30,1,2018-07-03,0.03,1,331
364585,Washington Park Stunning Townhouse,930851,Nicholas,,Washington Park West,39.69859,-104.9813,Entire home/apt,210,29,141,2021-01-05,1.30,1,282
370209,Private room in the nest - w/bathroom,269892,Maura,,Baker,39.71816,-104.9962,Private room,55,30,99,2020-03-07,1.47,1,306
477016,Private room In the heart of Denver,10951,Tricia,,City Park West,39.7413,-104.96934,Private room,55,3,326,2020-10-19,3.12,1,62
521072,Downtown and Modern by Hospital.,2563107,Matthew,,City Park West,39.74428,-104.96285,Entire home/apt,111,60,203,2020-11-22,1.95,1,48
548897,"TreeHouseSuite, in Healing Center ~30 DAYS OR MORE",1313972,Heather,,City Park West,39.74032,-104.96,Private room,50,30,153,2020-12-16,1.57,3,307
575758,a REAL warehouse LOFT,2832150,Kerry,,Five Points,39.76746,-104.97948,Entire home/apt,200,180,38,2017-01-09,0.46,1,365
632709,1890 townhome in popular LoHi! 2018-BFN-0009355,2157095,Valerie,,Highland,39.76659,-105.00957,Entire home/apt,122,30,163,2020-03-13,1.77,1,29
676825,Beautiful Home in Charming Location,3440535,Krista,,Stapleton,39.75706,-104.88374,Entire home/apt,195,5,150,2021-01-23,1.48,1,109
715123,*** Hip Platt Park 1920 Bungalow,3654159,Dave & Lisa,,Platt Park,39.69565,-104.983,Entire home/apt,115,29,0,,,1,42
732845,"RiNo Breweries, Food, Music & Art just steps away!",3816358,John,,Five Points,39.75916,-104.98068,Entire home/apt,300,2,114,2020-10-12,1.13,1,222
746298,Urban Retreat with Private Bath,3915386,Mary,,Lowry Field,39.72345,-104.89731,Private room,58,5,86,2020-11-06,1.22,1,17
756594,Private lower level 2 bedroom suite,3638426,Ling & Chris,,South Park Hill,39.74156,-104.91633,Entire home/apt,80,2,295,2021-01-31,3.03,1,351
761858,2 Bedrooms - 2 King Size Beds (Park Hill),489506,Doreen,,South Park Hill,39.75006,-104.93265,Private room,180,1,18,2020-08-09,0.19,3,20
