total_listings,latitude,longitude,accommodates,bathrooms,bedrooms,num_of_beds,min_nights,max_nights,avail_next_30_days,avail_next_60_days,avail_next_90_days,avail_next_365_days,num_of_reviews,avg_review_score,accuracy_score,cleanliness_score,checkin_score,communication_score,location_score,value_score,years_hosting
1,52.36575,4.94142,2,1.5,1.0,2.0,3,1125,29,46,60,139,278,98.0,10.0,10.0,10.0,10.0,9.0,10.0,12.38
2,52.36509,4.89354,2,1.0,1.0,1.0,1,365,0,0,0,0,339,89.0,10.0,10.0,10.0,10.0,10.0,9.0,11.19
2,52.37297,4.88339,3,1.0,1.0,1.0,14,180,6,36,66,251,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,11.23
1,52.387609999999995,4.8918800000000005,2,1.5,1.0,1.0,2,730,27,55,79,136,219,99.0,10.0,10.0,10.0,10.0,10.0,10.0,10.89
2,52.3661,4.889530000000001,2,1.0,1.0,1.0,2,1825,30,53,78,338,336,97.0,10.0,10.0,10.0,10.0,10.0,10.0,10.75
2,52.36607,4.891,1,1.0,1.0,1.0,2,730,30,60,87,355,480,95.0,10.0,10.0,10.0,10.0,10.0,9.0,10.75
1,52.35132,4.848380000000001,4,1.0,3.0,3.0,3,365,0,0,0,0,32,95.0,9.0,10.0,10.0,10.0,9.0,9.0,10.71
1,52.37891,4.88321,3,1.0,1.0,1.0,4,35,0,0,0,0,89,96.0,10.0,10.0,10.0,10.0,10.0,9.0,10.56
0,52.375370000000004,4.88932,4,1.0,2.0,4.0,3,30,30,60,90,362,59,98.0,10.0,7.0,9.0,10.0,10.0,9.0,10.53
4,52.38071,4.8861,2,1.5,1.0,1.0,4,1125,6,36,66,117,179,98.0,10.0,10.0,10.0,10.0,10.0,9.0,10.53
1,52.352470000000004,4.90825,2,1.0,1.0,1.0,3,1825,0,0,0,0,3,93.0,10.0,9.0,9.0,9.0,8.0,8.0,10.48
1,52.38028,4.89089,3,1.0,2.0,2.0,2,1124,13,40,59,244,368,98.0,10.0,10.0,10.0,10.0,10.0,10.0,10.43
0,52.36266,4.86103,4,1.0,2.0,2.0,3,365,30,60,90,365,103,99.0,10.0,9.0,10.0,10.0,10.0,9.0,10.43
1,52.37727,4.83925,6,1.0,3.0,3.0,4,15,8,8,23,135,17,95.0,10.0,10.0,10.0,10.0,9.0,10.0,10.42
1,52.36932,4.88258,2,1.0,1.0,1.0,2,365,25,55,85,343,307,97.0,10.0,10.0,10.0,10.0,10.0,10.0,10.42
1,52.37005,4.93869,2,1.5,1.0,1.0,2,20,0,0,0,0,102,92.0,10.0,10.0,10.0,10.0,9.0,9.0,10.54
1,52.353390000000005,4.90064,2,1.0,1.0,0.0,7,150,0,0,0,0,354,93.0,10.0,10.0,10.0,10.0,10.0,9.0,10.38
1,52.38905,4.8855900000000005,2,1.0,1.0,1.0,3,14,0,0,0,5,309,91.0,9.0,9.0,10.0,10.0,9.0,9.0,10.37
1,52.37126,4.90351,2,1.0,1.0,1.0,1,365,0,0,0,0,179,92.0,9.0,9.0,9.0,10.0,10.0,8.0,10.33
1,52.35386,4.89772,4,1.0,2.0,2.0,3,24,0,0,0,0,32,95.0,10.0,9.0,10.0,10.0,10.0,9.0,10.33
1,52.369659999999996,4.86203,2,1.0,1.0,1.0,2,7,0,10,40,315,157,97.0,10.0,10.0,10.0,10.0,9.0,10.0,10.32
1,52.35613,4.88515,4,1.5,2.0,2.0,4,21,0,0,0,0,95,97.0,10.0,10.0,10.0,10.0,10.0,10.0,10.32
3,52.376290000000004,4.88019,2,1.0,2.0,2.0,1,681,29,59,89,179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3
4,52.36916,4.88445,4,2.0,2.0,2.0,3,365,26,53,83,321,124,98.0,10.0,10.0,10.0,10.0,10.0,10.0,10.27
1,52.36445,4.93124,2,1.5,1.0,1.0,2,8,29,49,59,334,30,98.0,10.0,10.0,10.0,10.0,9.0,9.0,10.21
1,52.38459,4.85463,4,0.0,2.0,1.0,30,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2
1,52.363479999999996,4.8678300000000005,2,1.5,1.0,1.0,3,30,0,0,0,0,103,98.0,10.0,10.0,10.0,10.0,10.0,10.0,10.2
3,52.35472,4.8932400000000005,2,1.0,1.0,1.0,2,30,0,0,0,0,16,94.0,10.0,10.0,10.0,9.0,10.0,9.0,10.1
2,52.36887,4.895230000000001,2,1.5,1.0,2.0,1,360,3,33,63,63,659,96.0,10.0,10.0,10.0,10.0,10.0,10.0,10.1
2,52.3695,4.89556,2,1.5,1.0,1.0,1,30,0,0,0,0,579,96.0,10.0,10.0,10.0,10.0,10.0,9.0,10.1
1,52.41433,4.92014,2,1.5,1.0,1.0,1,15,0,0,0,0,108,95.0,10.0,10.0,10.0,10.0,9.0,10.0,10.09
3,52.36482,4.92762,3,1.0,1.0,2.0,3,90,0,0,0,0,254,95.0,10.0,9.0,10.0,10.0,10.0,9.0,9.98
3,52.36703,4.92879,2,1.0,1.0,1.0,3,100,0,0,0,0,324,94.0,10.0,9.0,10.0,10.0,10.0,9.0,9.98
2,52.36145,4.8769599999999995,2,1.0,1.0,1.0,4,30,12,37,67,330,33,99.0,10.0,10.0,10.0,10.0,10.0,10.0,9.98
2,52.36342,4.87558,2,1.0,1.0,2.0,4,31,12,42,69,296,16,97.0,10.0,10.0,10.0,10.0,10.0,10.0,9.98
1,52.389340000000004,4.89089,4,1.0,2.0,2.0,3,90,0,0,0,0,64,97.0,10.0,10.0,10.0,10.0,10.0,9.0,9.96
3,52.37876,4.89264,1,1.5,1.0,1.0,2,1125,0,0,0,0,218,95.0,10.0,10.0,10.0,10.0,10.0,9.0,9.92
1,52.369679999999995,4.88122,4,1.0,0.0,2.0,2,28,29,52,74,332,859,89.0,10.0,9.0,10.0,10.0,10.0,9.0,10.53
2,52.37307,4.89343,4,1.0,1.0,2.0,3,365,29,59,89,364,131,96.0,10.0,9.0,10.0,10.0,10.0,9.0,9.9
1,52.356320000000004,4.88921,2,1.0,0.0,1.0,2,35,13,43,73,73,157,94.0,9.0,9.0,9.0,9.0,10.0,9.0,9.89
29,52.36521,4.85136,2,1.0,1.0,1.0,3,60,0,1,1,41,94,95.0,10.0,10.0,10.0,10.0,10.0,9.0,9.89
1,52.35742,4.86229,2,1.5,0.0,2.0,30,730,30,50,50,150,11,85.0,9.0,8.0,9.0,9.0,9.0,9.0,11.14
1,52.35774,4.89647,2,1.5,1.0,1.0,1,18,0,0,0,0,44,95.0,10.0,9.0,10.0,10.0,10.0,9.0,9.85
2,52.3491,4.83611,2,1.0,1.0,2.0,2,8,30,58,82,357,196,91.0,10.0,10.0,10.0,10.0,9.0,9.0,10.51
1,52.37007,4.9196,2,1.0,1.0,1.0,2,365,27,57,87,362,37,95.0,9.0,9.0,10.0,10.0,9.0,9.0,10.37
1,52.36083,4.856669999999999,4,1.0,1.0,2.0,5,30,0,0,0,0,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,9.77
1,52.35517,4.88969,2,1.0,1.0,1.0,2,730,0,0,0,0,29,97.0,10.0,10.0,10.0,10.0,10.0,10.0,9.7
0,52.34751,4.84963,3,1.0,1.0,1.0,2,1125,29,59,89,89,24,90.0,9.0,9.0,10.0,9.0,9.0,9.0,9.68
2,52.36674,4.93748,3,1.0,2.0,2.0,4,30,0,0,0,0,86,95.0,9.0,10.0,10.0,10.0,9.0,9.0,9.67
1,52.3686,4.86487,2,1.0,1.0,1.0,2,7,0,0,0,0,4,95.0,10.0,10.0,10.0,10.0,10.0,10.0,9.65
1,52.36528,4.9301,2,1.0,1.0,1.0,7,15,0,0,0,0,21,95.0,10.0,10.0,10.0,10.0,9.0,9.0,9.63
1,52.36368,4.85506,2,1.0,1.0,1.0,3,21,30,60,90,365,56,95.0,10.0,9.0,10.0,10.0,9.0,9.0,9.61
1,52.37336,4.85754,4,2.0,3.0,4.0,2,5,18,36,55,192,41,97.0,10.0,10.0,10.0,10.0,10.0,10.0,9.6
3,52.37956,4.8935900000000006,2,1.5,1.0,1.0,2,1124,0,0,0,0,256,91.0,10.0,10.0,10.0,10.0,10.0,9.0,9.92
1,52.38172,4.8831,2,1.0,1.0,1.0,7,13,0,0,0,135,22,100.0,10.0,10.0,10.0,10.0,10.0,10.0,9.59
1,52.37018,4.88209,2,1.5,1.0,1.0,5,180,18,18,18,70,63,97.0,10.0,10.0,10.0,10.0,10.0,10.0,9.59
1,52.36916,4.86643,3,1.0,2.0,3.0,3,5,0,0,0,0,103,95.0,10.0,10.0,10.0,10.0,9.0,9.0,9.58
0,52.3559,4.87919,4,1.5,3.0,2.0,2,1125,28,58,88,178,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,9.58
1,52.36339,4.854019999999999,6,1.0,3.0,3.0,4,20,29,59,89,364,48,96.0,9.0,9.0,10.0,10.0,9.0,9.0,9.58
1,52.36208,4.9101,2,1.0,1.0,1.0,2,31,0,0,0,0,139,86.0,8.0,7.0,8.0,8.0,9.0,7.0,9.57
1,52.35883,4.86647,4,1.0,1.0,2.0,2,30,28,58,88,355,102,97.0,10.0,9.0,10.0,10.0,10.0,10.0,11.2
2,52.34332,4.89484,3,1.5,2.0,2.0,21,100,30,60,90,351,27,89.0,9.0,9.0,10.0,10.0,9.0,9.0,9.56
1,52.38624,4.90067,2,1.0,2.0,2.0,30,365,0,0,0,0,15,98.0,10.0,10.0,10.0,10.0,10.0,10.0,9.55
1,52.37433,4.892469999999999,4,1.0,1.0,3.0,2,365,1,2,9,194,186,95.0,10.0,10.0,10.0,10.0,10.0,9.0,9.53
2,52.36057,4.89671,2,1.0,1.0,1.0,2,31,28,58,88,88,598,99.0,10.0,10.0,10.0,10.0,10.0,10.0,9.52
1,52.38393,4.89237,2,1.5,1.0,1.0,3,1125,0,0,0,0,41,99.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5
1,52.38351,4.87573,3,1.0,1.0,2.0,5,30,0,0,0,0,42,96.0,10.0,10.0,10.0,10.0,9.0,9.0,9.49
1,52.35931,4.86111,2,1.0,0.0,3.0,5,30,3,33,63,145,42,87.0,9.0,9.0,9.0,10.0,9.0,8.0,9.79
1,52.34744,4.86886,4,1.5,3.0,4.0,3,60,0,0,0,0,24,97.0,10.0,10.0,10.0,10.0,10.0,9.0,9.48
1,52.36889,4.8642900000000004,2,1.0,1.0,1.0,1,730,0,0,0,0,2,90.0,10.0,10.0,10.0,10.0,9.0,8.0,9.47
1,52.34961,4.9173800000000005,3,1.0,1.0,3.0,2,60,23,53,83,358,183,85.0,9.0,7.0,9.0,9.0,9.0,8.0,9.45
1,52.36895,4.86452,4,1.5,2.0,3.0,3,365,0,0,18,69,20,96.0,10.0,9.0,10.0,10.0,10.0,9.0,9.54
1,52.35165,4.8465300000000004,2,1.0,1.0,1.0,2,30,0,0,0,0,41,99.0,10.0,10.0,10.0,10.0,10.0,9.0,9.74
1,52.37169,4.89446,3,1.0,1.0,2.0,3,50,30,56,74,209,168,96.0,10.0,10.0,10.0,10.0,10.0,9.0,9.44
2,52.36891,4.8897,2,1.0,1.0,1.0,2,760,29,59,85,344,10,100.0,10.0,10.0,10.0,10.0,10.0,9.0,9.42
1,52.3611,4.8589400000000005,2,1.5,1.0,1.0,3,21,0,0,0,0,132,94.0,10.0,10.0,10.0,10.0,9.0,9.0,9.41
1,52.37591,4.87807,4,1.0,2.0,2.0,14,60,0,0,0,0,16,91.0,10.0,10.0,10.0,10.0,10.0,9.0,9.38
2,52.367909999999995,4.88809,4,1.5,2.0,3.0,2,180,0,0,0,97,104,96.0,10.0,10.0,10.0,10.0,10.0,9.0,9.47
2,52.36773,4.88983,4,2.0,2.0,2.0,30,365,1,1,1,1,21,98.0,10.0,10.0,10.0,10.0,10.0,9.0,9.33
1,52.36707,4.873480000000001,2,1.5,1.0,0.0,2,365,30,60,90,360,343,97.0,10.0,10.0,10.0,10.0,10.0,9.0,9.32
1,52.3661,4.93299,2,1.0,1.0,1.0,4,50,0,0,0,0,102,92.0,10.0,10.0,9.0,10.0,9.0,9.0,9.31
1,52.37231,4.89856,2,1.0,1.0,2.0,1,1125,29,59,89,179,13,97.0,9.0,10.0,10.0,10.0,10.0,10.0,9.31
1,52.369609999999994,4.90982,4,2.0,2.0,2.0,4,30,30,60,90,365,11,98.0,10.0,10.0,10.0,10.0,10.0,9.0,9.31
1,52.36513,4.90837,2,1.0,1.0,1.0,2,21,19,49,69,344,81,98.0,10.0,10.0,10.0,10.0,10.0,10.0,9.3
1,52.37131,4.88206,2,1.5,1.0,1.0,3,30,12,42,72,347,49,98.0,10.0,10.0,10.0,10.0,10.0,9.0,9.3
2,52.34393,4.88547,4,1.0,2.0,2.0,2,365,29,59,89,355,90,97.0,10.0,10.0,10.0,10.0,10.0,9.0,9.29
1,52.35941,4.85995,5,2.0,4.0,6.0,5,30,0,0,0,0,7,91.0,9.0,9.0,9.0,10.0,9.0,9.0,9.28
1,52.3542,4.8916,4,1.0,1.0,1.0,30,30,30,60,90,365,8,72.0,8.0,6.0,9.0,9.0,9.0,8.0,9.28
